date,store_id,sku_id,beginning_inventory,receipts,units_sold,ending_inventory,stockout_flag,on_order_qty
2022-03-22,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-23,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-24,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-25,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-26,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-27,STORE_001,SKU_00001,100,100,24,76,0,0
2022-03-28,STORE_001,SKU_00001,76,0,18,58,0,0
2022-03-29,STORE_001,SKU_00001,58,0,22,36,0,100
2022-03-30,STORE_001,SKU_00001,36,0,22,14,0,100
2022-03-31,STORE_001,SKU_00001,14,0,14,0,1,100
2022-04-01,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-02,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-03,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-04,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-05,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-06,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-07,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-08,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-09,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-10,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-11,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-12,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-13,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-14,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-15,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-16,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-17,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-18,STORE_001,SKU_00001,100,100,23,77,0,0
2022-04-19,STORE_001,SKU_00001,77,0,26,51,0,100
2022-04-20,STORE_001,SKU_00001,51,0,20,31,0,100
2022-04-21,STORE_001,SKU_00001,31,0,15,16,0,100
2022-04-22,STORE_001,SKU_00001,16,0,14,2,0,100
2022-04-23,STORE_001,SKU_00001,2,0,2,0,1,100
2022-04-24,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-25,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-26,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-27,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-28,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-29,STORE_001,SKU_00001,0,0,0,0,1,100
2022-04-30,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-01,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-02,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-03,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-04,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-05,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-06,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-07,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-08,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-09,STORE_001,SKU_00001,100,100,23,77,0,0
2022-05-10,STORE_001,SKU_00001,77,0,24,53,0,100
2022-05-11,STORE_001,SKU_00001,53,0,20,33,0,100
2022-05-12,STORE_001,SKU_00001,33,0,23,10,0,100
2022-05-13,STORE_001,SKU_00001,10,0,10,0,1,100
2022-05-14,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-15,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-16,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-17,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-18,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-19,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-20,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-21,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-22,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-23,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-24,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-25,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-26,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-27,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-28,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-29,STORE_001,SKU_00001,0,0,0,0,1,100
2022-05-30,STORE_001,SKU_00001,100,100,23,77,0,0
2022-05-31,STORE_001,SKU_00001,77,0,21,56,0,100
2022-06-01,STORE_001,SKU_00001,56,0,18,38,0,100
2022-06-02,STORE_001,SKU_00001,38,0,29,9,0,100
2022-06-03,STORE_001,SKU_00001,9,0,9,0,1,100
2022-06-04,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-05,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-06,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-07,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-08,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-09,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-10,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-11,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-12,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-13,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-14,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-15,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-16,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-17,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-18,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-19,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-20,STORE_001,SKU_00001,100,100,27,73,0,0
2022-06-21,STORE_001,SKU_00001,73,0,33,40,0,100
2022-06-22,STORE_001,SKU_00001,40,0,16,24,0,100
2022-06-23,STORE_001,SKU_00001,24,0,24,0,0,100
2022-06-24,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-25,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-26,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-27,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-28,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-29,STORE_001,SKU_00001,0,0,0,0,1,100
2022-06-30,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-01,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-02,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-03,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-04,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-05,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-06,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-07,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-08,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-09,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-10,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-11,STORE_001,SKU_00001,100,100,14,86,0,0
2022-07-12,STORE_001,SKU_00001,86,0,25,61,0,0
2022-07-13,STORE_001,SKU_00001,61,0,27,34,0,100
2022-07-14,STORE_001,SKU_00001,34,0,15,19,0,100
2022-07-15,STORE_001,SKU_00001,19,0,19,0,1,100
2022-07-16,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-17,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-18,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-19,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-20,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-21,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-22,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-23,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-24,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-25,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-26,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-27,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-28,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-29,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-30,STORE_001,SKU_00001,0,0,0,0,1,100
2022-07-31,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-01,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-02,STORE_001,SKU_00001,100,100,22,78,0,0
2022-08-03,STORE_001,SKU_00001,78,0,16,62,0,0
2022-08-04,STORE_001,SKU_00001,62,0,22,40,0,100
2022-08-05,STORE_001,SKU_00001,40,0,21,19,0,100
2022-08-06,STORE_001,SKU_00001,19,0,19,0,1,100
2022-08-07,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-08,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-09,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-10,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-11,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-12,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-13,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-14,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-15,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-16,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-17,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-18,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-19,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-20,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-21,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-22,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-23,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-24,STORE_001,SKU_00001,100,100,20,80,0,0
2022-08-25,STORE_001,SKU_00001,80,0,39,41,0,100
2022-08-26,STORE_001,SKU_00001,41,0,16,25,0,100
2022-08-27,STORE_001,SKU_00001,25,0,25,0,1,100
2022-08-28,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-29,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-30,STORE_001,SKU_00001,0,0,0,0,1,100
2022-08-31,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-01,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-02,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-03,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-04,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-05,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-06,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-07,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-08,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-09,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-10,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-11,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-12,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-13,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-14,STORE_001,SKU_00001,100,100,9,91,0,0
2022-09-15,STORE_001,SKU_00001,91,0,14,77,0,0
2022-09-16,STORE_001,SKU_00001,77,0,26,51,0,100
2022-09-17,STORE_001,SKU_00001,51,0,29,22,0,100
2022-09-18,STORE_001,SKU_00001,22,0,22,0,1,100
2022-09-19,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-20,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-21,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-22,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-23,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-24,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-25,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-26,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-27,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-28,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-29,STORE_001,SKU_00001,0,0,0,0,1,100
2022-09-30,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-01,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-02,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-03,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-04,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-05,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-06,STORE_001,SKU_00001,100,100,15,85,0,0
2022-10-07,STORE_001,SKU_00001,85,0,15,70,0,0
2022-10-08,STORE_001,SKU_00001,70,0,19,51,0,100
2022-10-09,STORE_001,SKU_00001,51,0,16,35,0,100
2022-10-10,STORE_001,SKU_00001,35,0,23,12,0,100
2022-10-11,STORE_001,SKU_00001,12,0,10,2,0,100
2022-10-12,STORE_001,SKU_00001,2,0,2,0,1,100
2022-10-13,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-14,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-15,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-16,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-17,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-18,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-19,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-20,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-21,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-22,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-23,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-24,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-25,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-26,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-27,STORE_001,SKU_00001,0,0,0,0,1,100
2022-10-28,STORE_001,SKU_00001,100,100,9,91,0,0
2022-10-29,STORE_001,SKU_00001,91,0,26,65,0,0
2022-10-30,STORE_001,SKU_00001,65,0,7,58,0,0
2022-10-31,STORE_001,SKU_00001,58,0,17,41,0,100
2022-11-01,STORE_001,SKU_00001,41,0,18,23,0,100
2022-11-02,STORE_001,SKU_00001,23,0,10,13,0,100
2022-11-03,STORE_001,SKU_00001,13,0,13,0,1,100
2022-11-04,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-05,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-06,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-07,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-08,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-09,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-10,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-11,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-12,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-13,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-14,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-15,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-16,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-17,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-18,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-19,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-20,STORE_001,SKU_00001,100,100,32,68,0,0
2022-11-21,STORE_001,SKU_00001,68,0,21,47,0,100
2022-11-22,STORE_001,SKU_00001,47,0,12,35,0,100
2022-11-23,STORE_001,SKU_00001,35,0,9,26,0,100
2022-11-24,STORE_001,SKU_00001,26,0,18,8,0,100
2022-11-25,STORE_001,SKU_00001,8,0,8,0,1,100
2022-11-26,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-27,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-28,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-29,STORE_001,SKU_00001,0,0,0,0,1,100
2022-11-30,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-01,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-02,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-03,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-04,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-05,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-06,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-07,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-08,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-09,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-10,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-11,STORE_001,SKU_00001,100,100,24,76,0,0
2022-12-12,STORE_001,SKU_00001,76,0,15,61,0,0
2022-12-13,STORE_001,SKU_00001,61,0,20,41,0,100
2022-12-14,STORE_001,SKU_00001,41,0,15,26,0,100
2022-12-15,STORE_001,SKU_00001,26,0,9,17,0,100
2022-12-16,STORE_001,SKU_00001,17,0,16,1,0,100
2022-12-17,STORE_001,SKU_00001,1,0,1,0,1,100
2022-12-18,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-19,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-20,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-21,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-22,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-23,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-24,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-25,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-26,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-27,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-28,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-29,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-30,STORE_001,SKU_00001,0,0,0,0,1,100
2022-12-31,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-01,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-02,STORE_001,SKU_00001,100,100,18,82,0,0
2023-01-03,STORE_001,SKU_00001,82,0,10,72,0,0
2023-01-04,STORE_001,SKU_00001,72,0,13,59,0,0
2023-01-05,STORE_001,SKU_00001,59,0,9,50,0,100
2023-01-06,STORE_001,SKU_00001,50,0,20,30,0,100
2023-01-07,STORE_001,SKU_00001,30,0,25,5,0,100
2023-01-08,STORE_001,SKU_00001,5,0,5,0,1,100
2023-01-09,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-10,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-11,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-12,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-13,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-14,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-15,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-16,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-17,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-18,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-19,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-20,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-21,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-22,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-23,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-24,STORE_001,SKU_00001,0,0,0,0,1,100
2023-01-25,STORE_001,SKU_00001,100,100,11,89,0,0
2023-01-26,STORE_001,SKU_00001,89,0,7,82,0,0
2023-01-27,STORE_001,SKU_00001,82,0,16,66,0,0
2023-01-28,STORE_001,SKU_00001,66,0,22,44,0,100
2023-01-29,STORE_001,SKU_00001,44,0,25,19,0,100
2023-01-30,STORE_001,SKU_00001,19,0,12,7,0,100
2023-01-31,STORE_001,SKU_00001,7,0,7,0,1,100
2023-02-01,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-02,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-03,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-04,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-05,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-06,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-07,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-08,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-09,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-10,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-11,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-12,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-13,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-14,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-15,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-16,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-17,STORE_001,SKU_00001,100,100,15,85,0,0
2023-02-18,STORE_001,SKU_00001,85,0,17,68,0,0
2023-02-19,STORE_001,SKU_00001,68,0,16,52,0,100
2023-02-20,STORE_001,SKU_00001,52,0,11,41,0,100
2023-02-21,STORE_001,SKU_00001,41,0,17,24,0,100
2023-02-22,STORE_001,SKU_00001,24,0,16,8,0,100
2023-02-23,STORE_001,SKU_00001,8,0,8,0,1,100
2023-02-24,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-25,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-26,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-27,STORE_001,SKU_00001,0,0,0,0,1,100
2023-02-28,STORE_001,SKU_00001,0,0,0,0,1,100
2023-03-01,STORE_001,SKU_00001,0,0,0,0,1,100
2023-03-02,STORE_001,SKU_00001,0,0,0,0,1,100
2023-03-03,STORE_001,SKU_00001,0,0,0,0,1,100
2023-03-04,STORE_001,SKU_00001,0,0,0,0,1,100
2023-03-05,STORE_001,SKU_00001,0,0,0,0,1,100
2023-03-06,STORE_001,SKU_00001,0,0,0,0,1,100
2023-03-07,STORE_001,SKU_00001,0,0,0,0,1,100
2023-03-08,STORE_001,SKU_00001,0,0,0,0,1,100
2023-03-09,STORE_001,SKU_00001,0,0,0,0,1,100
2023-03-10,STORE_001,SKU_00001,0,0,0,0,1,100
