Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,transaction_type,description_recovered,description_source,invoice_date_only,invoice_year,invoice_month,invoice_weekday,is_guest_transaction,price_category,is_special_transaction
490976,84571,Unknown Product,-120,2009-12-08 16:42:00,0.0,,United Kingdom,RETURN,False,unknown,2009-12-08,2009,12,1,True,PRICE_ZERO,True
491046,20987,GEISHA GIRL CHOPSTICKS SET/5,-100,2009-12-09 10:03:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-09,2009,12,2,True,PRICE_ZERO,True
491047,21982,PACK OF 12 SUKI TISSUES,-50,2009-12-09 10:04:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-09,2009,12,2,True,PRICE_ZERO,True
491065,84855,MIA,-108,2009-12-09 11:59:00,0.0,,United Kingdom,RETURN,False,original,2009-12-09,2009,12,2,True,PRICE_ZERO,True
491066,35949,Unknown Product,-67,2009-12-09 12:17:00,0.0,,United Kingdom,RETURN,False,unknown,2009-12-09,2009,12,2,True,PRICE_ZERO,True
491108,84922,PINK BUTTERFLY WASHBAG,-360,2009-12-09 14:29:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-09,2009,12,2,True,PRICE_ZERO,True
491128,21490,SET OF THREE 50'S GIFT WRAPS,-20,2009-12-09 16:00:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-09,2009,12,2,True,PRICE_ZERO,True
491137,21489,BLUE WHITE SCARF HOT WATER BOTTLE,-8,2009-12-09 16:25:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-09,2009,12,2,True,PRICE_ZERO,True
491141,22174,PHOTO CUBE,-58,2009-12-09 16:43:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-09,2009,12,2,True,PRICE_ZERO,True
491167,17013A,Unknown Product,-45,2009-12-10 11:09:00,0.0,,United Kingdom,RETURN,False,unknown,2009-12-10,2009,12,3,True,PRICE_ZERO,True
491206,84841,Unknown Product,-54,2009-12-10 14:10:00,0.0,,United Kingdom,RETURN,False,unknown,2009-12-10,2009,12,3,True,PRICE_ZERO,True
491355,17014C,ORIGAMI LAVENDER INCENSE CONES,-96,2009-12-10 15:52:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-10,2009,12,3,True,PRICE_ZERO,True
491451,20940,SET/6 GARDEN GNOME T-LIGHT CANDLES,-46,2009-12-11 11:09:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-11,2009,12,4,True,PRICE_ZERO,True
491638,21353,SILVER SLEIGHBELL  WREATH,-136,2009-12-11 15:59:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-11,2009,12,4,True,PRICE_ZERO,True
491639,20668,DISCO BALL CHRISTMAS DECORATION,-1395,2009-12-11 16:02:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-11,2009,12,4,True,PRICE_ZERO,True
491732,79030A,smashed,-350,2009-12-14 10:00:00,0.0,,United Kingdom,RETURN,False,original,2009-12-14,2009,12,0,True,PRICE_ZERO,True
491817,72487,ROSES WHITE ROUND CANDLE,-322,2009-12-14 13:37:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-14,2009,12,0,True,PRICE_ZERO,True
491972,21100,bad quality,-76,2009-12-14 18:43:00,0.0,,United Kingdom,RETURN,False,original,2009-12-14,2009,12,0,True,PRICE_ZERO,True
491974,72752B,"F.FAIRY,CANDLE IN GLASS,LAVENDER",-21,2009-12-14 18:44:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-14,2009,12,0,True,PRICE_ZERO,True
491975,72752C,Unknown Product,-24,2009-12-14 18:44:00,0.0,,United Kingdom,RETURN,False,unknown,2009-12-14,2009,12,0,True,PRICE_ZERO,True
491973,72752A,"F.FAIRY,CANDLE IN GLASS,LILY/VALLEY",-18,2009-12-14 18:44:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-14,2009,12,0,True,PRICE_ZERO,True
491978,72755C,FLOWER FAIRY OIL BURNER SET ROSE,-60,2009-12-14 18:45:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-14,2009,12,0,True,PRICE_ZERO,True
491977,72755B,Unknown Product,-23,2009-12-14 18:45:00,0.0,,United Kingdom,RETURN,False,unknown,2009-12-14,2009,12,0,True,PRICE_ZERO,True
491976,72752D,Unknown Product,-46,2009-12-14 18:45:00,0.0,,United Kingdom,RETURN,False,unknown,2009-12-14,2009,12,0,True,PRICE_ZERO,True
492000,21719,LOVELY BONBON STICKER SHEET,-81,2009-12-15 11:22:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-15,2009,12,1,True,PRICE_ZERO,True
492001,21724,PANDA AND BUNNIES STICKER SHEET,-99,2009-12-15 11:22:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-15,2009,12,1,True,PRICE_ZERO,True
492002,10138,ASSORTED COLOUR JUMBO PEN,-36,2009-12-15 11:23:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-15,2009,12,1,True,PRICE_ZERO,True
492006,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-100,2009-12-15 11:25:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-15,2009,12,1,True,PRICE_ZERO,True
492105,22113,GREY HEART HOT WATER BOTTLE,-100,2009-12-15 14:07:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-15,2009,12,1,True,PRICE_ZERO,True
492171,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,-30,2009-12-15 14:53:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-15,2009,12,1,True,PRICE_ZERO,True
492182,20870,OPULENT VELVET CANDLE IN BOX,-29,2009-12-15 15:41:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-15,2009,12,1,True,PRICE_ZERO,True
492183,20879,TREE OF NOAH FESTIVE SCENTED CANDLE,-46,2009-12-15 15:42:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-15,2009,12,1,True,PRICE_ZERO,True
492215,16169D,WRAP WINTER FOREST,-150,2009-12-15 17:19:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-15,2009,12,1,True,PRICE_ZERO,True
492217,35815B,"ACRYLIC JEWEL SNOWFLAKE,BLUE",-10,2009-12-15 17:28:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-15,2009,12,1,True,PRICE_ZERO,True
492219,46775B,BERRIES CHUNKY KNITTED THROW,-17,2009-12-15 17:44:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-15,2009,12,1,True,PRICE_ZERO,True
492365,17011C,ORIGAMI LAVENDER INCENSE+FLOWER,-47,2009-12-16 13:56:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-16,2009,12,2,True,PRICE_ZERO,True
492364,17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,-39,2009-12-16 13:56:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-16,2009,12,2,True,PRICE_ZERO,True
492366,17013B,ORIGAMI JASMINE INCENSE IN TUBE,-45,2009-12-16 13:57:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-16,2009,12,2,True,PRICE_ZERO,True
492464,22187,GREEN CHRISTMAS TREE CARD HOLDER,-96,2009-12-17 11:33:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-17,2009,12,3,True,PRICE_ZERO,True
492523,72756,FAIRY CAKE CANDLES,-396,2009-12-17 12:30:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-17,2009,12,3,True,PRICE_ZERO,True
492595,21543,BUTTERFLY WATER TRANSFER TATTOOS,-152,2009-12-17 15:53:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-17,2009,12,3,True,PRICE_ZERO,True
492719,48173C,MIA,-9,2009-12-18 10:49:00,0.0,,United Kingdom,RETURN,False,original,2009-12-18,2009,12,4,True,PRICE_ZERO,True
492748,47504J,ENGLISH ROSE SET/3 GARDEN TOOLS,-70,2009-12-18 13:09:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-18,2009,12,4,True,PRICE_ZERO,True
492788,72739B,discoloured,-70,2009-12-18 17:45:00,0.0,,United Kingdom,RETURN,False,original,2009-12-18,2009,12,4,True,PRICE_ZERO,True
492786,46000M,POLYESTER FILLER PAD 45x45cm,-60,2009-12-18 17:45:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-18,2009,12,4,True,PRICE_ZERO,True
492787,85112,damaged,-38,2009-12-18 17:45:00,0.0,,United Kingdom,RETURN,False,original,2009-12-18,2009,12,4,True,PRICE_ZERO,True
492790,37503,damaged,-19,2009-12-18 17:46:00,0.0,,United Kingdom,RETURN,False,original,2009-12-18,2009,12,4,True,PRICE_ZERO,True
492789,72739C,discoloured,-64,2009-12-18 17:46:00,0.0,,United Kingdom,RETURN,False,original,2009-12-18,2009,12,4,True,PRICE_ZERO,True
492791,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-30,2009-12-18 17:47:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-18,2009,12,4,True,PRICE_ZERO,True
493093,21479,WHITE SKULL HOT WATER BOTTLE,-91,2009-12-22 10:55:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-22,2009,12,1,True,PRICE_ZERO,True
493201,20884,MODERN CHRISTMAS TREE CANDLE,-5,2009-12-22 13:23:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-22,2009,12,1,True,PRICE_ZERO,True
493226,84558B,Unknown Product,-2,2009-12-22 13:43:00,0.0,,United Kingdom,RETURN,False,unknown,2009-12-22,2009,12,1,True,PRICE_ZERO,True
493229,37399,"ASS RETROSPOOF MUGS,SPORTS",-113,2009-12-22 13:44:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-22,2009,12,1,True,PRICE_ZERO,True
493232,16258B,DAISY ERASERS IN BAG,-207,2009-12-22 13:44:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-22,2009,12,1,True,PRICE_ZERO,True
493237,16161C,WRAP SPEED DEMONS,-632,2009-12-22 13:46:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-22,2009,12,1,True,PRICE_ZERO,True
493328,37492A,YELLOW RED FLOWER PIGGY BANK,-38,2009-12-23 09:44:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-23,2009,12,2,True,PRICE_ZERO,True
493327,84705B,FAIRY CAKES PHOTO FRAME,-11,2009-12-23 09:44:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-23,2009,12,2,True,PRICE_ZERO,True
493370,35004S,SET OF 3 SILVER FLYING DUCKS,-292,2009-12-23 10:29:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-23,2009,12,2,True,PRICE_ZERO,True
493405,37452B,Unknown Product,-15,2009-12-23 16:01:00,0.0,,United Kingdom,RETURN,False,unknown,2009-12-23,2009,12,2,True,PRICE_ZERO,True
493406,37452A,Unknown Product,-25,2009-12-23 16:02:00,0.0,,United Kingdom,RETURN,False,unknown,2009-12-23,2009,12,2,True,PRICE_ZERO,True
493494,21231,SWEETHEART CERAMIC TRINKET BOX,-84,2010-01-04 14:56:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-04,2010,1,0,True,PRICE_ZERO,True
493567,72754D,F FAIRY POTPOURRI CUSHIONS SUMMER,-104,2010-01-05 09:16:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-05,2010,1,1,True,PRICE_ZERO,True
493572,20714,missing,-450,2010-01-05 10:13:00,0.0,,United Kingdom,RETURN,False,original,2010-01-05,2010,1,1,True,PRICE_ZERO,True
493668,72740A,LARGE STRAWBERRY CHOCOLATE CANDLE,-43,2010-01-05 12:16:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-05,2010,1,1,True,PRICE_ZERO,True
493669,85166A,WHITE METAL BAROQUE PHOTO FRAME,-36,2010-01-05 12:17:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-05,2010,1,1,True,PRICE_ZERO,True
493698,21981,PACK OF 12 WOODLAND TISSUES,-200,2010-01-05 13:42:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-05,2010,1,1,True,PRICE_ZERO,True
493821,17129D,missing (wrongly coded?),-2127,2010-01-07 12:43:00,0.0,,United Kingdom,RETURN,False,original,2010-01-07,2010,1,3,True,PRICE_ZERO,True
493845,84718,Unknown Product,-95,2010-01-07 15:02:00,0.0,,United Kingdom,RETURN,False,unknown,2010-01-07,2010,1,3,True,PRICE_ZERO,True
493858,20753,RETRO PINK SPOT WASHING UP GLOVES,-260,2010-01-07 16:12:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-07,2010,1,3,True,PRICE_ZERO,True
493879,21322,GLASS SPHERE CANDLE STAND LARGE,-17,2010-01-08 09:20:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-08,2010,1,4,True,PRICE_ZERO,True
493928,21649,ASSORTED TUTTI FRUTTI PHOTO FRAME,-18,2010-01-08 11:53:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-08,2010,1,4,True,PRICE_ZERO,True
494025,21779,MA CAMPAGNE MINI WOODEN CHEST,-2,2010-01-11 10:11:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-11,2010,1,0,True,PRICE_ZERO,True
494031,82484,WOOD BLACK BOARD ANT WHITE FINISH,-6,2010-01-11 10:39:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-11,2010,1,0,True,PRICE_ZERO,True
494038,84671B,CROCHET BEAR WITH BLUE STRIPES,-2,2010-01-11 11:49:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-11,2010,1,0,True,PRICE_ZERO,True
494039,20913,SET/5 BLUE SPOTTY LID GLASS BOWLS,-159,2010-01-11 11:51:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-11,2010,1,0,True,PRICE_ZERO,True
494114,21502,Unknown Product,-275,2010-01-11 12:30:00,0.0,,United Kingdom,RETURN,False,unknown,2010-01-11,2010,1,0,True,PRICE_ZERO,True
494152,21914,BLUE HARMONICA IN BOX,-71,2010-01-11 15:07:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-11,2010,1,0,True,PRICE_ZERO,True
494155,21118,SHOPPING BAG DOORSTOP,-22,2010-01-11 15:34:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-11,2010,1,0,True,PRICE_ZERO,True
494158,16169G,WRAP ROMANTIC DECOUPAGE,-75,2010-01-11 16:01:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-11,2010,1,0,True,PRICE_ZERO,True
494162,20968,GREEN FLORAL FELTCRAFT SHOULDER BAG,-116,2010-01-11 17:18:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-11,2010,1,0,True,PRICE_ZERO,True
494168,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-90,2010-01-12 09:55:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494186,20688,BEAUTY SPEED EXPRESSO CUPS,-514,2010-01-12 10:48:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494248,21553,CERAMIC BIRDHOUSE FINCH BLUE  LARGE,-36,2010-01-12 16:39:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494249,21554,CERAMIC BIRDHOUSE RED ROOF LARGE,-24,2010-01-12 16:40:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494250,21551,CERAMIC BIRDHOUSE BUTTERFLY LARGE,-11,2010-01-12 16:40:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494251,21552,CERAMIC BIRDHOUSE BLACK ROSE  LARGE,-23,2010-01-12 16:40:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494252,21893,POTTING SHED SEED TIN,-24,2010-01-12 16:43:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494253,85128,PLANTPOT SINGLE HOOK PISTACHIO,-11,2010-01-12 16:43:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494254,84925A,WAKE UP COCKEREL WALL THERMOMETER,-38,2010-01-12 16:43:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494257,84925E,FLOWERS WALL THERMOMETER,-17,2010-01-12 16:44:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494256,84925D,LA PALMIERA WALL THERMOMETER,-428,2010-01-12 16:44:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494259,84838,ANT WHITE HIGH RISE BIRD BOX,-5,2010-01-12 16:45:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494258,84767,ZINC POLICE BOX LANTERN,-12,2010-01-12 16:45:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494260,84830,LARGE ENGLISH ARBORETUM,-5,2010-01-12 16:46:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494261,21309,LOUVRE CHALKBOARD,-21,2010-01-12 16:47:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494263,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,-14,2010-01-12 16:47:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494262,85120,Unknown Product,-24,2010-01-12 16:47:00,0.0,,United Kingdom,RETURN,False,unknown,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494265,37345,ASSTD HEARTS DESIGN MUGS,-68,2010-01-12 16:55:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494266,21967,MIA,-512,2010-01-12 16:56:00,0.0,,United Kingdom,RETURN,False,original,2010-01-12,2010,1,1,True,PRICE_ZERO,True
494273,21364,PEACE SMALL WOOD LETTERS,-39,2010-01-13 10:04:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-13,2010,1,2,True,PRICE_ZERO,True
494279,84029C,BROWN FURRY HOT WATER BOTTLE,-44,2010-01-13 10:41:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-13,2010,1,2,True,PRICE_ZERO,True
494340,84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,-290,2010-01-13 13:06:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-13,2010,1,2,True,PRICE_ZERO,True
494341,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,-300,2010-01-13 13:07:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-13,2010,1,2,True,PRICE_ZERO,True
494377,84572,6 HOOK JEWEL STAND LILAC DRESS,-1,2010-01-13 16:41:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-13,2010,1,2,True,PRICE_ZERO,True
494388,35918B,BLUE FLORIBUNDA EGG WARMER,-12,2010-01-14 09:58:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-14,2010,1,3,True,PRICE_ZERO,True
494393,21480,PINK STRIPE HOT WATER BOTTLE,-23,2010-01-14 10:25:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-14,2010,1,3,True,PRICE_ZERO,True
494446,79321,CHILLI LIGHTS,-190,2010-01-14 13:18:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-14,2010,1,3,True,PRICE_ZERO,True
494487,21252,SET OF MEADOW  FLOWER STICKERS,-12,2010-01-14 17:08:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-14,2010,1,3,True,PRICE_ZERO,True
494631,72796A,S/3 ENGLISH LAVENDER SQU CANDLE,-18,2010-01-15 16:52:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-15,2010,1,4,True,PRICE_ZERO,True
494723,84972M,Unknown Product,-1,2010-01-18 12:25:00,0.0,,United Kingdom,RETURN,False,unknown,2010-01-18,2010,1,0,True,PRICE_ZERO,True
494796,82553,POP'S GREASY SPOON METAL SIGN,-160,2010-01-18 14:22:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-18,2010,1,0,True,PRICE_ZERO,True
494800,82577,Unknown Product,-54,2010-01-18 14:50:00,0.0,,United Kingdom,RETURN,False,unknown,2010-01-18,2010,1,0,True,PRICE_ZERO,True
494925,79321,CHILLI LIGHTS,-1,2010-01-20 10:11:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-20,2010,1,2,True,PRICE_ZERO,True
495064,71028B,SILVER BLUE EGG T-LIGHT HOLDER,-109,2010-01-20 16:37:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-20,2010,1,2,True,PRICE_ZERO,True
495066,72772,SET/4 SCENTED CANDLES IN RAMEKINS,-67,2010-01-20 16:53:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-20,2010,1,2,True,PRICE_ZERO,True
495067,17014A,ORIGAMI VANILLA INCENSE CONES,-181,2010-01-20 16:53:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-20,2010,1,2,True,PRICE_ZERO,True
495068,72753D,S/3 FLWR FAIRY SUMMER CANDLES,-15,2010-01-20 16:54:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-20,2010,1,2,True,PRICE_ZERO,True
495069,20965,Unknown Product,-27,2010-01-20 17:11:00,0.0,,United Kingdom,RETURN,False,unknown,2010-01-20,2010,1,2,True,PRICE_ZERO,True
495092,84450A,PINK RABBIT SITTING EASTER,-36,2010-01-21 11:01:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-21,2010,1,3,True,PRICE_ZERO,True
495180,16240,Unknown Product,-40,2010-01-21 13:36:00,0.0,,United Kingdom,RETURN,False,unknown,2010-01-21,2010,1,3,True,PRICE_ZERO,True
495191,84933D,Unknown Product,-4,2010-01-21 14:51:00,0.0,,United Kingdom,RETURN,False,unknown,2010-01-21,2010,1,3,True,PRICE_ZERO,True
495199,17061,ASSORTED SHAPED STENCIL FOR HENNA,-1198,2010-01-21 16:25:00,0.0,,United Kingdom,RETURN,True,recovered,2010-01-21,2010,1,3,True,PRICE_ZERO,True
