date,year,month,quarter,day,day_of_week,day_name,is_weekend,is_holiday,holiday_name,season,week_of_year
2022-05-05,2022,5,2,5,3,Thursday,0,0,Regular Day,Spring,18
2022-05-06,2022,5,2,6,4,Friday,0,0,Regular Day,Spring,18
2022-05-07,2022,5,2,7,5,Saturday,1,0,Regular Day,Spring,18
2022-05-08,2022,5,2,8,6,Sunday,1,0,Regular Day,Spring,18
2022-05-09,2022,5,2,9,0,Monday,0,0,Regular Day,Spring,19
2022-05-10,2022,5,2,10,1,Tuesday,0,0,Regular Day,Spring,19
2022-05-11,2022,5,2,11,2,Wednesday,0,0,Regular Day,Spring,19
2022-05-12,2022,5,2,12,3,Thursday,0,0,Regular Day,Spring,19
2022-05-13,2022,5,2,13,4,Friday,0,0,Regular Day,Spring,19
2022-05-14,2022,5,2,14,5,Saturday,1,0,Regular Day,Spring,19
2022-05-15,2022,5,2,15,6,Sunday,1,0,Regular Day,Spring,19
2022-05-16,2022,5,2,16,0,Monday,0,0,Regular Day,Spring,20
2022-05-17,2022,5,2,17,1,Tuesday,0,0,Regular Day,Spring,20
2022-05-18,2022,5,2,18,2,Wednesday,0,0,Regular Day,Spring,20
2022-05-19,2022,5,2,19,3,Thursday,0,0,Regular Day,Spring,20
2022-05-20,2022,5,2,20,4,Friday,0,0,Regular Day,Spring,20
2022-05-21,2022,5,2,21,5,Saturday,1,0,Regular Day,Spring,20
2022-05-22,2022,5,2,22,6,Sunday,1,0,Regular Day,Spring,20
2022-05-23,2022,5,2,23,0,Monday,0,0,Regular Day,Spring,21
2022-05-24,2022,5,2,24,1,Tuesday,0,0,Regular Day,Spring,21
2022-05-25,2022,5,2,25,2,Wednesday,0,0,Regular Day,Spring,21
2022-05-26,2022,5,2,26,3,Thursday,0,0,Regular Day,Spring,21
2022-05-27,2022,5,2,27,4,Friday,0,0,Regular Day,Spring,21
2022-05-28,2022,5,2,28,5,Saturday,1,0,Regular Day,Spring,21
2022-05-29,2022,5,2,29,6,Sunday,1,0,Regular Day,Spring,21
2022-05-30,2022,5,2,30,0,Monday,0,0,Regular Day,Spring,22
2022-05-31,2022,5,2,31,1,Tuesday,0,0,Regular Day,Spring,22
2022-06-01,2022,6,2,1,2,Wednesday,0,0,Regular Day,Summer,22
2022-06-02,2022,6,2,2,3,Thursday,0,0,Regular Day,Summer,22
2022-06-03,2022,6,2,3,4,Friday,0,0,Regular Day,Summer,22
2022-06-04,2022,6,2,4,5,Saturday,1,0,Regular Day,Summer,22
2022-06-05,2022,6,2,5,6,Sunday,1,0,Regular Day,Summer,22
2022-06-06,2022,6,2,6,0,Monday,0,0,Regular Day,Summer,23
2022-06-07,2022,6,2,7,1,Tuesday,0,0,Regular Day,Summer,23
2022-06-08,2022,6,2,8,2,Wednesday,0,0,Regular Day,Summer,23
2022-06-09,2022,6,2,9,3,Thursday,0,0,Regular Day,Summer,23
2022-06-10,2022,6,2,10,4,Friday,0,0,Regular Day,Summer,23
2022-06-11,2022,6,2,11,5,Saturday,1,0,Regular Day,Summer,23
2022-06-12,2022,6,2,12,6,Sunday,1,0,Regular Day,Summer,23
2022-06-13,2022,6,2,13,0,Monday,0,0,Regular Day,Summer,24
2022-06-14,2022,6,2,14,1,Tuesday,0,0,Regular Day,Summer,24
2022-06-15,2022,6,2,15,2,Wednesday,0,0,Regular Day,Summer,24
2022-06-16,2022,6,2,16,3,Thursday,0,0,Regular Day,Summer,24
2022-06-17,2022,6,2,17,4,Friday,0,0,Regular Day,Summer,24
2022-06-18,2022,6,2,18,5,Saturday,1,0,Regular Day,Summer,24
2022-06-19,2022,6,2,19,6,Sunday,1,0,Regular Day,Summer,24
2022-06-20,2022,6,2,20,0,Monday,0,0,Regular Day,Summer,25
2022-06-21,2022,6,2,21,1,Tuesday,0,0,Regular Day,Summer,25
2022-06-22,2022,6,2,22,2,Wednesday,0,0,Regular Day,Summer,25
2022-06-23,2022,6,2,23,3,Thursday,0,0,Regular Day,Summer,25
2022-06-24,2022,6,2,24,4,Friday,0,0,Regular Day,Summer,25
2022-06-25,2022,6,2,25,5,Saturday,1,0,Regular Day,Summer,25
2022-06-26,2022,6,2,26,6,Sunday,1,0,Regular Day,Summer,25
2022-06-27,2022,6,2,27,0,Monday,0,0,Regular Day,Summer,26
2022-06-28,2022,6,2,28,1,Tuesday,0,0,Regular Day,Summer,26
2022-06-29,2022,6,2,29,2,Wednesday,0,0,Regular Day,Summer,26
2022-06-30,2022,6,2,30,3,Thursday,0,0,Regular Day,Summer,26
2022-07-01,2022,7,3,1,4,Friday,0,0,Regular Day,Summer,26
2022-07-02,2022,7,3,2,5,Saturday,1,0,Regular Day,Summer,26
2022-07-03,2022,7,3,3,6,Sunday,1,0,Regular Day,Summer,26
2022-07-04,2022,7,3,4,0,Monday,0,1,Independence Day,Summer,27
2022-07-05,2022,7,3,5,1,Tuesday,0,0,Regular Day,Summer,27
2022-07-06,2022,7,3,6,2,Wednesday,0,0,Regular Day,Summer,27
2022-07-07,2022,7,3,7,3,Thursday,0,0,Regular Day,Summer,27
2022-07-08,2022,7,3,8,4,Friday,0,0,Regular Day,Summer,27
2022-07-09,2022,7,3,9,5,Saturday,1,0,Regular Day,Summer,27
2022-07-10,2022,7,3,10,6,Sunday,1,0,Regular Day,Summer,27
2022-07-11,2022,7,3,11,0,Monday,0,0,Regular Day,Summer,28
2022-07-12,2022,7,3,12,1,Tuesday,0,0,Regular Day,Summer,28
2022-07-13,2022,7,3,13,2,Wednesday,0,0,Regular Day,Summer,28
2022-07-14,2022,7,3,14,3,Thursday,0,0,Regular Day,Summer,28
2022-07-15,2022,7,3,15,4,Friday,0,0,Regular Day,Summer,28
2022-07-16,2022,7,3,16,5,Saturday,1,0,Regular Day,Summer,28
2022-07-17,2022,7,3,17,6,Sunday,1,0,Regular Day,Summer,28
2022-07-18,2022,7,3,18,0,Monday,0,0,Regular Day,Summer,29
2022-07-19,2022,7,3,19,1,Tuesday,0,0,Regular Day,Summer,29
2022-07-20,2022,7,3,20,2,Wednesday,0,0,Regular Day,Summer,29
2022-07-21,2022,7,3,21,3,Thursday,0,0,Regular Day,Summer,29
2022-07-22,2022,7,3,22,4,Friday,0,0,Regular Day,Summer,29
2022-07-23,2022,7,3,23,5,Saturday,1,0,Regular Day,Summer,29
2022-07-24,2022,7,3,24,6,Sunday,1,0,Regular Day,Summer,29
2022-07-25,2022,7,3,25,0,Monday,0,0,Regular Day,Summer,30
2022-07-26,2022,7,3,26,1,Tuesday,0,0,Regular Day,Summer,30
2022-07-27,2022,7,3,27,2,Wednesday,0,0,Regular Day,Summer,30
2022-07-28,2022,7,3,28,3,Thursday,0,0,Regular Day,Summer,30
2022-07-29,2022,7,3,29,4,Friday,0,0,Regular Day,Summer,30
2022-07-30,2022,7,3,30,5,Saturday,1,0,Regular Day,Summer,30
2022-07-31,2022,7,3,31,6,Sunday,1,0,Regular Day,Summer,30
2022-08-01,2022,8,3,1,0,Monday,0,0,Regular Day,Summer,31
2022-08-02,2022,8,3,2,1,Tuesday,0,0,Regular Day,Summer,31
2022-08-03,2022,8,3,3,2,Wednesday,0,0,Regular Day,Summer,31
2022-08-04,2022,8,3,4,3,Thursday,0,0,Regular Day,Summer,31
2022-08-05,2022,8,3,5,4,Friday,0,0,Regular Day,Summer,31
2022-08-06,2022,8,3,6,5,Saturday,1,0,Regular Day,Summer,31
2022-08-07,2022,8,3,7,6,Sunday,1,0,Regular Day,Summer,31
2022-08-08,2022,8,3,8,0,Monday,0,0,Regular Day,Summer,32
2022-08-09,2022,8,3,9,1,Tuesday,0,0,Regular Day,Summer,32
2022-08-10,2022,8,3,10,2,Wednesday,0,0,Regular Day,Summer,32
2022-08-11,2022,8,3,11,3,Thursday,0,0,Regular Day,Summer,32
2022-08-12,2022,8,3,12,4,Friday,0,0,Regular Day,Summer,32
2022-08-13,2022,8,3,13,5,Saturday,1,0,Regular Day,Summer,32
2022-08-14,2022,8,3,14,6,Sunday,1,0,Regular Day,Summer,32
2022-08-15,2022,8,3,15,0,Monday,0,0,Regular Day,Summer,33
2022-08-16,2022,8,3,16,1,Tuesday,0,0,Regular Day,Summer,33
2022-08-17,2022,8,3,17,2,Wednesday,0,0,Regular Day,Summer,33
2022-08-18,2022,8,3,18,3,Thursday,0,0,Regular Day,Summer,33
2022-08-19,2022,8,3,19,4,Friday,0,0,Regular Day,Summer,33
2022-08-20,2022,8,3,20,5,Saturday,1,0,Regular Day,Summer,33
2022-08-21,2022,8,3,21,6,Sunday,1,0,Regular Day,Summer,33
2022-08-22,2022,8,3,22,0,Monday,0,0,Regular Day,Summer,34
2022-08-23,2022,8,3,23,1,Tuesday,0,0,Regular Day,Summer,34
2022-08-24,2022,8,3,24,2,Wednesday,0,0,Regular Day,Summer,34
2022-08-25,2022,8,3,25,3,Thursday,0,0,Regular Day,Summer,34
2022-08-26,2022,8,3,26,4,Friday,0,0,Regular Day,Summer,34
2022-08-27,2022,8,3,27,5,Saturday,1,0,Regular Day,Summer,34
2022-08-28,2022,8,3,28,6,Sunday,1,0,Regular Day,Summer,34
2022-08-29,2022,8,3,29,0,Monday,0,0,Regular Day,Summer,35
2022-08-30,2022,8,3,30,1,Tuesday,0,0,Regular Day,Summer,35
2022-08-31,2022,8,3,31,2,Wednesday,0,0,Regular Day,Summer,35
2022-09-01,2022,9,3,1,3,Thursday,0,0,Regular Day,Fall,35
2022-09-02,2022,9,3,2,4,Friday,0,0,Regular Day,Fall,35
2022-09-03,2022,9,3,3,5,Saturday,1,0,Regular Day,Fall,35
2022-09-04,2022,9,3,4,6,Sunday,1,0,Regular Day,Fall,35
2022-09-05,2022,9,3,5,0,Monday,0,0,Regular Day,Fall,36
2022-09-06,2022,9,3,6,1,Tuesday,0,0,Regular Day,Fall,36
2022-09-07,2022,9,3,7,2,Wednesday,0,0,Regular Day,Fall,36
2022-09-08,2022,9,3,8,3,Thursday,0,0,Regular Day,Fall,36
2022-09-09,2022,9,3,9,4,Friday,0,0,Regular Day,Fall,36
2022-09-10,2022,9,3,10,5,Saturday,1,0,Regular Day,Fall,36
2022-09-11,2022,9,3,11,6,Sunday,1,0,Regular Day,Fall,36
2022-09-12,2022,9,3,12,0,Monday,0,0,Regular Day,Fall,37
2022-09-13,2022,9,3,13,1,Tuesday,0,0,Regular Day,Fall,37
2022-09-14,2022,9,3,14,2,Wednesday,0,0,Regular Day,Fall,37
2022-09-15,2022,9,3,15,3,Thursday,0,0,Regular Day,Fall,37
2022-09-16,2022,9,3,16,4,Friday,0,0,Regular Day,Fall,37
2022-09-17,2022,9,3,17,5,Saturday,1,0,Regular Day,Fall,37
2022-09-18,2022,9,3,18,6,Sunday,1,0,Regular Day,Fall,37
2022-09-19,2022,9,3,19,0,Monday,0,0,Regular Day,Fall,38
2022-09-20,2022,9,3,20,1,Tuesday,0,0,Regular Day,Fall,38
2022-09-21,2022,9,3,21,2,Wednesday,0,0,Regular Day,Fall,38
2022-09-22,2022,9,3,22,3,Thursday,0,0,Regular Day,Fall,38
2022-09-23,2022,9,3,23,4,Friday,0,0,Regular Day,Fall,38
2022-09-24,2022,9,3,24,5,Saturday,1,0,Regular Day,Fall,38
2022-09-25,2022,9,3,25,6,Sunday,1,0,Regular Day,Fall,38
2022-09-26,2022,9,3,26,0,Monday,0,0,Regular Day,Fall,39
2022-09-27,2022,9,3,27,1,Tuesday,0,0,Regular Day,Fall,39
2022-09-28,2022,9,3,28,2,Wednesday,0,0,Regular Day,Fall,39
2022-09-29,2022,9,3,29,3,Thursday,0,0,Regular Day,Fall,39
2022-09-30,2022,9,3,30,4,Friday,0,0,Regular Day,Fall,39
2022-10-01,2022,10,4,1,5,Saturday,1,0,Regular Day,Fall,39
2022-10-02,2022,10,4,2,6,Sunday,1,0,Regular Day,Fall,39
2022-10-03,2022,10,4,3,0,Monday,0,0,Regular Day,Fall,40
2022-10-04,2022,10,4,4,1,Tuesday,0,0,Regular Day,Fall,40
2022-10-05,2022,10,4,5,2,Wednesday,0,0,Regular Day,Fall,40
2022-10-06,2022,10,4,6,3,Thursday,0,0,Regular Day,Fall,40
2022-10-07,2022,10,4,7,4,Friday,0,0,Regular Day,Fall,40
2022-10-08,2022,10,4,8,5,Saturday,1,0,Regular Day,Fall,40
2022-10-09,2022,10,4,9,6,Sunday,1,0,Regular Day,Fall,40
2022-10-10,2022,10,4,10,0,Monday,0,0,Regular Day,Fall,41
2022-10-11,2022,10,4,11,1,Tuesday,0,0,Regular Day,Fall,41
2022-10-12,2022,10,4,12,2,Wednesday,0,0,Regular Day,Fall,41
2022-10-13,2022,10,4,13,3,Thursday,0,0,Regular Day,Fall,41
2022-10-14,2022,10,4,14,4,Friday,0,0,Regular Day,Fall,41
2022-10-15,2022,10,4,15,5,Saturday,1,0,Regular Day,Fall,41
2022-10-16,2022,10,4,16,6,Sunday,1,0,Regular Day,Fall,41
2022-10-17,2022,10,4,17,0,Monday,0,0,Regular Day,Fall,42
2022-10-18,2022,10,4,18,1,Tuesday,0,0,Regular Day,Fall,42
2022-10-19,2022,10,4,19,2,Wednesday,0,0,Regular Day,Fall,42
2022-10-20,2022,10,4,20,3,Thursday,0,0,Regular Day,Fall,42
2022-10-21,2022,10,4,21,4,Friday,0,0,Regular Day,Fall,42
2022-10-22,2022,10,4,22,5,Saturday,1,0,Regular Day,Fall,42
2022-10-23,2022,10,4,23,6,Sunday,1,0,Regular Day,Fall,42
2022-10-24,2022,10,4,24,0,Monday,0,0,Regular Day,Fall,43
2022-10-25,2022,10,4,25,1,Tuesday,0,0,Regular Day,Fall,43
2022-10-26,2022,10,4,26,2,Wednesday,0,0,Regular Day,Fall,43
2022-10-27,2022,10,4,27,3,Thursday,0,0,Regular Day,Fall,43
2022-10-28,2022,10,4,28,4,Friday,0,0,Regular Day,Fall,43
2022-10-29,2022,10,4,29,5,Saturday,1,0,Regular Day,Fall,43
2022-10-30,2022,10,4,30,6,Sunday,1,0,Regular Day,Fall,43
2022-10-31,2022,10,4,31,0,Monday,0,1,Halloween,Fall,44
2022-11-01,2022,11,4,1,1,Tuesday,0,0,Regular Day,Fall,44
2022-11-02,2022,11,4,2,2,Wednesday,0,0,Regular Day,Fall,44
2022-11-03,2022,11,4,3,3,Thursday,0,0,Regular Day,Fall,44
2022-11-04,2022,11,4,4,4,Friday,0,0,Regular Day,Fall,44
2022-11-05,2022,11,4,5,5,Saturday,1,0,Regular Day,Fall,44
2022-11-06,2022,11,4,6,6,Sunday,1,0,Regular Day,Fall,44
2022-11-07,2022,11,4,7,0,Monday,0,0,Regular Day,Fall,45
2022-11-08,2022,11,4,8,1,Tuesday,0,0,Regular Day,Fall,45
2022-11-09,2022,11,4,9,2,Wednesday,0,0,Regular Day,Fall,45
2022-11-10,2022,11,4,10,3,Thursday,0,0,Regular Day,Fall,45
2022-11-11,2022,11,4,11,4,Friday,0,0,Regular Day,Fall,45
2022-11-12,2022,11,4,12,5,Saturday,1,0,Regular Day,Fall,45
2022-11-13,2022,11,4,13,6,Sunday,1,0,Regular Day,Fall,45
2022-11-14,2022,11,4,14,0,Monday,0,0,Regular Day,Fall,46
2022-11-15,2022,11,4,15,1,Tuesday,0,0,Regular Day,Fall,46
2022-11-16,2022,11,4,16,2,Wednesday,0,0,Regular Day,Fall,46
2022-11-17,2022,11,4,17,3,Thursday,0,0,Regular Day,Fall,46
2022-11-18,2022,11,4,18,4,Friday,0,0,Regular Day,Fall,46
2022-11-19,2022,11,4,19,5,Saturday,1,0,Regular Day,Fall,46
2022-11-20,2022,11,4,20,6,Sunday,1,0,Regular Day,Fall,46
2022-11-21,2022,11,4,21,0,Monday,0,0,Regular Day,Fall,47
2022-11-22,2022,11,4,22,1,Tuesday,0,0,Regular Day,Fall,47
2022-11-23,2022,11,4,23,2,Wednesday,0,0,Regular Day,Fall,47
2022-11-24,2022,11,4,24,3,Thursday,0,0,Regular Day,Fall,47
2022-11-25,2022,11,4,25,4,Friday,0,1,Thanksgiving Window,Fall,47
2022-11-26,2022,11,4,26,5,Saturday,1,1,Black Friday,Fall,47
2022-11-27,2022,11,4,27,6,Sunday,1,0,Regular Day,Fall,47
2022-11-28,2022,11,4,28,0,Monday,0,0,Regular Day,Fall,48
2022-11-29,2022,11,4,29,1,Tuesday,0,1,Cyber Monday,Fall,48
2022-11-30,2022,11,4,30,2,Wednesday,0,0,Regular Day,Fall,48
2022-12-01,2022,12,4,1,3,Thursday,0,0,Regular Day,Winter,48
2022-12-02,2022,12,4,2,4,Friday,0,0,Regular Day,Winter,48
2022-12-03,2022,12,4,3,5,Saturday,1,0,Regular Day,Winter,48
2022-12-04,2022,12,4,4,6,Sunday,1,0,Regular Day,Winter,48
2022-12-05,2022,12,4,5,0,Monday,0,0,Regular Day,Winter,49
2022-12-06,2022,12,4,6,1,Tuesday,0,0,Regular Day,Winter,49
2022-12-07,2022,12,4,7,2,Wednesday,0,0,Regular Day,Winter,49
2022-12-08,2022,12,4,8,3,Thursday,0,0,Regular Day,Winter,49
2022-12-09,2022,12,4,9,4,Friday,0,0,Regular Day,Winter,49
2022-12-10,2022,12,4,10,5,Saturday,1,0,Regular Day,Winter,49
2022-12-11,2022,12,4,11,6,Sunday,1,0,Regular Day,Winter,49
2022-12-12,2022,12,4,12,0,Monday,0,0,Regular Day,Winter,50
2022-12-13,2022,12,4,13,1,Tuesday,0,0,Regular Day,Winter,50
2022-12-14,2022,12,4,14,2,Wednesday,0,0,Regular Day,Winter,50
2022-12-15,2022,12,4,15,3,Thursday,0,0,Regular Day,Winter,50
2022-12-16,2022,12,4,16,4,Friday,0,0,Regular Day,Winter,50
2022-12-17,2022,12,4,17,5,Saturday,1,0,Regular Day,Winter,50
2022-12-18,2022,12,4,18,6,Sunday,1,0,Regular Day,Winter,50
2022-12-19,2022,12,4,19,0,Monday,0,0,Regular Day,Winter,51
2022-12-20,2022,12,4,20,1,Tuesday,0,0,Regular Day,Winter,51
2022-12-21,2022,12,4,21,2,Wednesday,0,0,Regular Day,Winter,51
2022-12-22,2022,12,4,22,3,Thursday,0,0,Regular Day,Winter,51
